"","shipID","work_time","start_time","end_time","date","moving_time","status","port","place1","place2","dist","turn","weight_lv","seven","day","pilotID","tug1","tug2","tug3","tug.cnt"
"5","350796",59,2017-01-01 21:21:00,2017-01-01 14:20:00,2017-01-01 12:30:00,20.1374217347375,"1","1",NA,"1058",7724.10915705979,0,1,0,1,"80","112","322",NA,2
"14","340618",36,2017-01-01 15:34:00,2017-01-01 08:10:00,2017-01-01 07:00:00,6,"1","1",NA,"1008",4784.12003168753,0,8,1,1,"82","322",NA,NA,1
"16","356204",42,2017-01-01 10:58:00,2017-01-01 03:40:00,2017-01-01 02:00:00,39.1782611015119,"1","2",NA,"1105",5845.06904046064,1,1,0,0,"67","171","172",NA,2
"23","408018",26,2017-01-01 16:04:00,2017-01-01 08:30:00,2017-01-01 07:30:00,0,"1","1",NA,"1040",4888.14860473248,0,6,1,1,"70","321",NA,NA,1
"24","375063",5,2017-01-01 19:35:00,2017-01-01 11:40:00,2017-01-01 11:00:00,16.0590231207474,"3","1",NA,"4032",4454.61486217467,-1,6,0,1,"102","322",NA,NA,1
"33","323314",30,2017-01-01 22:50:00,2017-01-01 15:20:00,2017-01-01 14:00:00,47.377762834745,"1","1",NA,"4031",6471.12962920096,-1,1,0,1,"98","112",NA,NA,1
"38","357987",48,2017-01-01 14:03:00,2017-01-01 06:51:00,2017-01-01 05:00:00,6,"1","2",NA,"1099",6962.64219990802,0,8,0,0,"91","109",NA,NA,1
"42","331775",56,2017-01-01 19:14:00,2017-01-01 12:10:00,2017-01-01 10:00:00,6,"1","2",NA,"1104",6038.10735735725,1,8,0,1,"72","172","171",NA,2
"43","335789",15,2017-01-01 22:54:00,2017-01-01 15:09:00,2017-01-01 14:30:00,14.9647828159858,"3","1",NA,"1062",6441.25675090205,0,8,0,1,"91","155",NA,NA,1
"45","364401",19,2017-01-01 13:01:00,2017-01-01 05:20:00,2017-01-01 04:00:00,47.0276783485936,"1","1",NA,"1045",5293.82289119184,0,1,0,0,"61","245",NA,NA,1
"46","356204",42,2017-01-01 10:58:00,2017-01-01 03:40:00,2017-01-01 02:00:00,39.1782611015119,"1","2",NA,"1105",5845.06904046064,1,1,0,0,"67","171","172",NA,2
