"","date","hour","power"
"1",20170101,0,0.15
"2",20170101,1,1
"3",20170101,2,0.75
"4",20170101,3,0.75
"5",20170101,4,0.85
"6",20170101,5,0.4
"7",20170101,6,1.25
"8",20170101,7,0.1
"9",20170101,8,0.15
"10",20170101,9,1.05
"11",20170101,10,3.9
"12",20170101,11,4
"13",20170101,12,4
"14",20170101,13,4.9
"15",20170101,14,4.35
"16",20170101,15,5.4
"17",20170101,16,4.65
"18",20170101,17,3.9
"19",20170101,18,2.65
"20",20170101,19,2.1
"21",20170101,20,3
"22",20170101,21,3.25
"23",20170101,22,1.05
"24",20170101,23,0.25
"25",20170102,0,1.15
"26",20170102,1,0.75
"27",20170102,2,1
"28",20170102,3,1.8
"29",20170102,4,3
"30",20170102,5,1.95
"31",20170102,6,0.7
"32",20170102,7,1.9
"33",20170102,8,0.85
"34",20170102,9,1.65
"35",20170102,10,1
"36",20170102,11,4.05
"37",20170102,12,4.85
"38",20170102,13,5.79487179487179
"39",20170102,14,6.14285714285714
"40",20170102,15,6.58490566037736
"41",20170102,16,5.81578947368421
"42",20170102,17,3.52380952380952
"43",20170102,18,1.6
"44",20170102,19,0.25
"45",20170102,20,0.35
"46",20170102,21,0.5
"47",20170102,22,0.4
"48",20170102,23,0.1
"49",20170103,0,0.4
"50",20170103,1,1
"51",20170103,2,0.35
"52",20170103,3,1.15
"53",20170103,4,1
"54",20170103,5,0.6
"55",20170103,6,2.2
"56",20170103,7,1.95
"57",20170103,8,1.25
"58",20170103,9,1.15
"59",20170103,10,2.5
"60",20170103,11,2
"61",20170103,12,2.5
"62",20170103,13,2.15
"63",20170103,14,4.05
"64",20170103,15,5
"65",20170103,16,5
"66",20170103,17,5.125
"67",20170103,18,2.45
"68",20170103,19,2
"69",20170103,20,1.35
"70",20170103,21,1
"71",20170103,22,0.85
"72",20170103,23,0
"73",20170104,0,0.55
"74",20170104,1,0.95
"75",20170104,2,0.65
"76",20170104,3,1.25
"77",20170104,4,0.25
"78",20170104,5,0.35
"79",20170104,6,0.5
"80",20170104,7,0.65
"81",20170104,8,0.6
"82",20170104,9,0.95
"83",20170104,10,3
"84",20170104,11,3.75
"85",20170104,12,3.25
"86",20170104,13,3
"87",20170104,14,3.4
"88",20170104,15,4.15
"89",20170104,16,5
"90",20170104,17,5
"91",20170104,18,3.55
"92",20170104,19,1.85
"93",20170104,20,2
"94",20170104,21,0.6
"95",20170104,22,0
"96",20170104,23,0
"97",20170105,0,0.9
"98",20170105,1,1
"99",20170105,2,0.35
"100",20170105,3,1.15
"101",20170105,4,1.25
"102",20170105,5,1
"103",20170105,6,1.15
"104",20170105,7,1.6
"105",20170105,8,0.9
"106",20170105,9,2.15
"107",20170105,10,3.73684210526316
"108",20170105,11,5.71153846153846
"109",20170105,12,6.16666666666667
"110",20170105,13,6.08333333333333
"111",20170105,14,6
"112",20170105,15,6.57142857142857
"113",20170105,16,5.90322580645161
"114",20170105,17,4.08333333333333
"115",20170105,18,4
"116",20170105,19,2.3
"117",20170105,20,1.8
"118",20170105,21,2.8
"119",20170105,22,2
"120",20170105,23,2.35
"121",20170106,0,2.9
"122",20170106,1,2
"123",20170106,2,2
"124",20170106,3,1.4
"125",20170106,4,1
"126",20170106,5,1.15
"127",20170106,6,1.15
"128",20170106,7,1.25
"129",20170106,8,2.4
"130",20170106,9,1.4
"131",20170106,10,2.45
"132",20170106,11,4.1
"133",20170106,12,6.3125
"134",20170106,13,6.2
"135",20170106,14,6
"136",20170106,15,6.83333333333333
"137",20170106,16,4.75
"138",20170106,17,4.5
"139",20170106,18,3.55
"140",20170106,19,1.85
"141",20170106,20,1.15
"142",20170106,21,2.15
"143",20170106,22,2.2
"144",20170106,23,0.5
"145",20170107,0,0.85
"146",20170107,1,0.2
"147",20170107,2,0.85
"148",20170107,3,0.5
"149",20170107,4,0.75
"150",20170107,5,1.4
"151",20170107,6,1.25
"152",20170107,7,0.95
"153",20170107,8,0.55
"154",20170107,9,0.95
"155",20170107,10,1.8
"156",20170107,11,2
"157",20170107,12,2
"158",20170107,13,2.9
"159",20170107,14,4.55
"160",20170107,15,4.45
"161",20170107,16,4.55
"162",20170107,17,3.85
"163",20170107,18,1.9
"164",20170107,19,1.1
"165",20170107,20,1.65
"166",20170107,21,2
"167",20170107,22,0.7
"168",20170107,23,0.4
"169",20170108,0,0.6
"170",20170108,1,0.25
"171",20170108,2,1.3
"172",20170108,3,2.65
"173",20170108,4,2.35
"174",20170108,5,3.04545454545455
"175",20170108,6,3.09090909090909
"176",20170108,7,2.88
"177",20170108,8,2
"178",20170108,9,2.90909090909091
"179",20170108,10,4
"180",20170108,11,6
"181",20170108,12,6.25
"182",20170108,13,6.20512820512821
"183",20170108,14,7
"184",20170108,15,6.91228070175439
"185",20170108,16,6.27906976744186
"186",20170108,17,6
"187",20170108,18,4.33333333333333
"188",20170108,19,1.4
"189",20170108,20,1.45
"190",20170108,21,1
"191",20170108,22,0.9
"192",20170108,23,0.1
"193",20170109,0,0.75
"194",20170109,1,0
"195",20170109,2,0.4
"196",20170109,3,0.75
"197",20170109,4,0.6
"198",20170109,5,0.4
"199",20170109,6,1
"200",20170109,7,0.75
"201",20170109,8,0.25
"202",20170109,9,2.55
"203",20170109,10,3.75
"204",20170109,11,3.65
"205",20170109,12,4.5
"206",20170109,13,3.5
"207",20170109,14,4.65
"208",20170109,15,5.4
"209",20170109,16,5.81818181818182
"210",20170109,17,3.3
"211",20170109,18,0.5
"212",20170109,19,0.75
"213",20170109,20,0.25
"214",20170109,21,2.4
"215",20170109,22,0.95
"216",20170109,23,0
"217",20170110,0,0.4
"218",20170110,1,1
"219",20170110,2,0.75
"220",20170110,3,0.6
"221",20170110,4,0
"222",20170110,5,0.25
"223",20170110,6,0.4
"224",20170110,7,0.75
"225",20170110,8,0.75
"226",20170110,9,1.05
"227",20170110,10,4.3
"228",20170110,11,5.43478260869565
"229",20170110,12,6
"230",20170110,13,4.85
"231",20170110,14,4.6
"232",20170110,15,4.25
"233",20170110,16,3.85
"234",20170110,17,2.35
"235",20170110,18,1.85
"236",20170110,19,1.9
"237",20170110,20,2.4
"238",20170110,21,2.35
"239",20170110,22,0.85
"240",20170110,23,1
"241",20170111,0,2
"242",20170111,1,0.75
"243",20170111,2,0.25
"244",20170111,3,0.5
"245",20170111,4,1.4
"246",20170111,5,1.1
"247",20170111,6,1.25
"248",20170111,7,1
"249",20170111,8,0.5
"250",20170111,9,2.55
"251",20170111,10,2.6
"252",20170111,11,3.7
"253",20170111,12,4.35
"254",20170111,13,4.4
"255",20170111,14,4.35
"256",20170111,15,3.35
"257",20170111,16,3
"258",20170111,17,3.9
"259",20170111,18,2.85
"260",20170111,19,1.85
"261",20170111,20,1.6
"262",20170111,21,1.15
"263",20170111,22,0.45
"264",20170111,23,0
"265",20170112,0,0
"266",20170112,1,0.65
"267",20170112,2,1
"268",20170112,3,1.65
"269",20170112,4,2.4
"270",20170112,5,2.05
"271",20170112,6,0.25
"272",20170112,7,0.15
"273",20170112,8,1.65
"274",20170112,9,1.35
"275",20170112,10,3.85
"276",20170112,11,6.02702702702703
"277",20170112,12,6.86666666666667
"278",20170112,13,6.88333333333333
"279",20170112,14,6.87719298245614
"280",20170112,15,6.74545454545455
"281",20170112,16,5.72222222222222
"282",20170112,17,3.85
"283",20170112,18,3.7
"284",20170112,19,2.5
"285",20170112,20,2.15
"286",20170112,21,1.45
"287",20170112,22,1.9
"288",20170112,23,1.5
"289",20170113,0,1.25
"290",20170113,1,0.7
"291",20170113,2,0.666666666666667
"292",20170113,3,3.07692307692308
"293",20170113,4,3.93103448275862
"294",20170113,5,3.14285714285714
"295",20170113,6,1.8
"296",20170113,7,0.4
"297",20170113,8,1.45
"298",20170113,9,0.9
"299",20170113,10,4.17391304347826
"300",20170113,11,5.825
"301",20170113,12,6.87719298245614
"302",20170113,13,6.63793103448276
"303",20170113,14,7.63333333333333
"304",20170113,15,7.11666666666667
"305",20170113,16,6.36666666666667
"306",20170113,17,5.63157894736842
"307",20170113,18,1.45
"308",20170113,19,0.35
"309",20170113,20,0.15
"310",20170113,21,1
